Player,Age_x,Tm_x,Cluster,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff,Pos_x_PF,Pos_x_PG,Pos_x_SF,Pos_x_SG
Jamal Murray,25,DEN,0,65,2133,18,0.571,0.415,0.207,2.7,11,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,2023,Regular Season,32.81538462,20,799,21.6,0.586,0.363,0.198,2.3,13.8,8.2,28.1,1.9,0.5,10.1,27.9,2,1,3,0.181,4.1,0.7,4.8,1.4,Playoffs,39.95,3.6,-0.4,0.065,0.065,0,1,0,0
James Harden,31,BRK,2,44,1609,24.5,0.618,0.455,0.44,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,5.3,1.7,7,0.208,6.2,1,7.2,3.7,2021,Regular Season,36.56818182,9,322,23.9,0.673,0.611,0.574,2.5,16.4,9.8,35.1,2.3,1.7,16.1,22.7,1.2,0.6,1.8,0.263,7,2,9.1,0.9,Playoffs,35.77777778,-0.6,-2.8,0.055,0.055,0,1,0,0
Jaylen Brown,22,BOS,6,74,1913,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3,0.076,-1.6,-0.4,-2.1,0,2019,Regular Season,25.85135135,9,274,13.1,0.624,0.46,0.345,2.3,16.4,9.7,6.3,1.1,0.7,13,18.4,0.3,0.4,0.7,0.122,-0.5,1.2,0.7,0.2,Playoffs,30.44444444,-0.4,0.2,0.046,0.046,0,0,0,1
Jimmy Butler,32,MIA,1,57,1931,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,6.2,2.9,9.2,0.228,4.5,1.9,6.3,4,2022,Regular Season,33.87719298,17,629,29.9,0.604,0.207,0.402,7.4,16.3,11.7,23.5,2.8,1.9,6.1,29.1,2.7,1.1,3.8,0.291,8.3,3.5,11.8,2.2,Playoffs,37,6.3,-1.8,0.063,0.063,0,0,1,0
Kawhi Leonard,29,LAC,1,52,1773,26,0.622,0.28,0.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,6.4,2.4,8.8,0.238,6,1.3,7.3,4.2,2021,Regular Season,34.09615385,11,432,30.6,0.679,0.286,0.352,6,16.6,11.4,20.9,2.8,2,8.9,29.1,2,0.5,2.5,0.277,8.1,2.6,10.7,1.4,Playoffs,39.27272727,4.6,-2.8,0.039,0.039,0,0,1,0
Kawhi Leonard,31,LAC,1,52,1748,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2,1.4,8.1,27,4.9,2.2,7.1,0.194,5.1,0.9,6.1,3.5,2023,Regular Season,33.61538462,2,80,29.9,0.67,0.227,0.386,4.1,15.5,9.4,27.3,2.4,1,10.4,30.2,0.4,0,0.4,0.227,10.1,3.7,13.8,0.3,Playoffs,40,6,-3.2,0.033,0.033,0,0,1,0
Kristaps Porziņģis,24,DAL,9,57,1814,20.2,0.551,0.432,0.304,5.9,25.1,15.6,8.8,1.1,5.4,8,27,2.6,2.6,5.2,0.138,1.8,0.1,1.9,1.8,2020,Regular Season,31.8245614,3,94,26,0.708,0.425,0.575,3.4,27.1,15.1,3.3,0,2.8,5.6,24.3,0.4,0,0.4,0.205,6.2,-0.6,5.7,0.2,Playoffs,31.33333333,5.8,-1.6,0.067,0.067,0,0,0,0
LeBron James,35,LAL,2,67,2316,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,2020,Regular Season,34.56716418,21,762,30.2,0.647,0.312,0.393,4.4,30.5,17.5,42,1.7,2.3,15.8,30.4,3,1.2,4.3,0.269,7.6,3.1,10.7,2.4,Playoffs,36.28571429,4.7,-3.7,0.065,0.065,0,1,0,0
LeBron James,38,LAL,2,55,1954,23.9,0.583,0.309,0.268,3.7,20.8,12.5,33.5,1.2,1.4,11.6,33.3,3.2,2.4,5.6,0.138,5.5,0.6,6.1,4,2023,Regular Season,35.52727273,16,619,22.6,0.584,0.359,0.312,4.6,21.6,13.6,27.4,1.3,2.6,10.7,26.6,1.3,0.9,2.2,0.171,5.5,2,7.6,1.5,Playoffs,38.6875,-1.3,-2.5,0.033,0.033,1,0,0,0
Marc Gasol,34,TOR,9,79,2436,16.7,0.546,0.314,0.291,3.6,25.1,14.3,22.2,1.7,3.2,13.6,20.7,2,4,6,0.118,0.8,2.3,3.1,3.1,2019,Regular Season,30.83544304,24,735,13.5,0.564,0.494,0.256,2.4,20.6,11.5,14.7,1.4,3.5,9.5,13.6,1,1.3,2.3,0.151,0.3,3.1,3.4,1,Playoffs,30.625,-3.2,-2.1,0.033,0.033,0,0,0,0
Mike Conley,32,UTA,0,47,1363,14.1,0.537,0.451,0.245,2.8,9.2,6.1,23.1,1.3,0.3,12.8,23.1,1.4,1.1,2.5,0.089,0.7,-0.4,0.3,0.8,2020,Regular Season,29,5,165,26.3,0.672,0.531,0.344,2.2,7.7,5,25,2.5,0.6,6.4,22.3,0.8,0,0.9,0.255,6.8,2.4,9.2,0.5,Playoffs,33,12.2,-0.3,0.166,0.166,0,1,0,0
Nikola Jokić,23,DEN,8,80,2504,26.3,0.589,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7,2019,Regular Season,31.3,14,557,29.6,0.596,0.215,0.299,10,24.5,17.2,37.1,1.5,1.8,10.9,26.5,2.4,0.6,3,0.263,8.3,3.3,11.6,1.9,Playoffs,39.78571429,3.3,-5.1,0.037,0.037,0,0,0,0
P.J. Tucker,33,HOU,3,82,2802,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2,3,5,0.086,-1.6,1,-0.6,1,2019,Regular Season,34.17073171,11,426,14.2,0.637,0.648,0.261,5.2,16.2,10.8,6.6,2.2,1.7,7.5,10.9,0.9,0.6,1.5,0.167,1.8,2.7,4.5,0.7,Playoffs,38.72727273,5,-0.3,0.081,0.081,1,0,0,0
RJ Barrett,22,NYK,6,73,2475,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,2023,Regular Season,33.90410959,11,377,14.6,0.55,0.372,0.396,1.5,13.3,7.4,15,1.2,0.5,11.5,25.7,0.3,0.5,0.8,0.105,0.9,0.4,1.3,0.3,Playoffs,34.27272727,1.7,1,0.062,0.062,0,0,0,1
Robert Covington,29,HOU,3,70,2137,13.3,0.559,0.664,0.172,3,20.2,11.4,5.9,2.5,3.7,11.7,17,0.7,3,3.7,0.083,-1.2,1.3,0,1.1,2020,Regular Season,30.52857143,12,379,15.8,0.683,0.716,0.074,2.2,16.1,8.8,6.5,3.9,3.4,10.9,13,0.5,0.8,1.3,0.169,1.2,3.8,5,0.7,Playoffs,31.58333333,2.5,-0.4,0.086,0.086,1,0,0,0
Rui Hachimura,22,WAS,7,57,1797,11.4,0.549,0.211,0.248,2.9,15.5,9.2,6.3,1.1,0.3,8.6,18.1,0.7,1.4,2.1,0.056,-2.2,-1,-3.1,-0.5,2021,Regular Season,31.52631579,5,173,13.7,0.708,0.319,0.255,3,20.3,11.3,4.3,0.5,0.5,8.7,13.8,0.3,0,0.3,0.095,1,-0.2,0.8,0.1,Playoffs,34.6,2.3,0.6,0.039,0.039,1,0,0,0
Seth Curry,30,PHI,11,57,1638,12.9,0.607,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10,17.1,2.3,1.7,4,0.118,0.1,-0.4,-0.3,0.7,2021,Regular Season,28.73684211,12,381,18.8,0.727,0.551,0.129,1.2,6.7,4,11.1,1.1,0.6,6,18.7,1.2,0.4,1.6,0.206,3.9,1.4,5.3,0.7,Playoffs,31.75,5.9,0,0.088,0.088,0,0,0,1
Stephen Curry,33,GSW,2,64,2211,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1,13.2,30.8,4.6,3.4,8,0.173,5.4,0.4,5.8,4.4,2022,Regular Season,34.546875,22,764,24.4,0.606,0.52,0.293,1.7,14.9,8.4,28.3,1.9,1.1,10.3,31.8,2.4,0.9,3.2,0.203,6.7,1.1,7.7,1.9,Playoffs,34.72727273,3,-2.5,0.03,0.03,0,1,0,0
