Player,Age_x,Tm_x,Cluster,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff,Pos_x_PF,Pos_x_PG,Pos_x_SF,Pos_x_SG
Garrett Temple,33,BRK,10,62,1730,10.5,0.513,0.658,0.148,1.8,11.1,6.5,12.8,1.3,1.4,9,16.6,0.7,1.7,2.4,0.066,-1.4,0.3,-1.1,0.4,2020,Regular Season,27.90322581,4,137,4.6,0.465,0.735,0.122,0,8.7,4,9.3,1,0.7,10.4,17.3,-0.2,-0.1,-0.3,-0.095,-4.2,-1.8,-6.1,-0.1,Playoffs,34.25,-5.9,-0.5,-0.161,0.161,0,0,0,1
Giannis Antetokounmpo,28,MIL,7,63,2024,29,0.605,0.134,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,2023,Regular Season,32.12698413,3,91,18.8,0.525,0.057,0.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,-0.1,0.1,0,-0.026,1.3,0.6,2,0.1,Playoffs,30.33333333,-10.2,-5.3,-0.23,0.23,1,0,0,0
Jarrett Allen,21,BRK,0,70,1852,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1,2.3,2,2020,Regular Season,26.45714286,4,132,17.1,0.66,0,0.667,12.1,34.5,22.5,10.5,0.7,5.1,26.2,13.1,0.2,0.1,0.2,0.078,-0.3,0.3,-0.1,0.1,Playoffs,33,-3.6,-1.9,-0.134,0.134,0,0,0,0
Jimmy Butler,31,MIA,4,52,1745,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,6.6,2.7,9.3,0.255,5.4,2.3,7.7,4.3,2021,Regular Season,33.55769231,4,154,9.7,0.394,0.234,0.344,3.6,15.8,9.5,30.7,1.6,0.6,10.9,23.6,-0.3,0.1,-0.2,-0.064,-0.9,-0.5,-1.4,0,Playoffs,38.5,-16.8,-4.3,-0.319,0.319,0,0,1,0
Joel Embiid,27,PHI,7,68,2297,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12,0.252,7.2,2,9.2,6.5,2022,Regular Season,33.77941176,10,385,19.1,0.59,0.205,0.553,7,26.2,17,9.9,0.5,1.9,13.8,28.4,0.5,0.4,0.9,0.117,1.1,-1,0.1,0.2,Playoffs,38.5,-12.1,-6.3,-0.135,0.135,0,0,0,0
Joel Embiid,28,PHI,7,66,2284,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,2023,Regular Season,34.60606061,9,336,20.3,0.561,0.183,0.549,5.4,25.6,15.3,12.7,0.9,8.1,15.6,31,0.1,0.5,0.6,0.09,0.9,1,1.9,0.3,Playoffs,37.33333333,-11.1,-6.1,-0.169,0.169,0,0,0,0
Jonas Valančiūnas,28,MEM,0,62,1755,24.4,0.636,0.077,0.273,15.1,31.9,23.4,10,1,2.9,10.7,22.4,5.1,2.6,7.8,0.213,3.2,-0.3,3,2.2,2021,Regular Season,28.30645161,5,166,17.7,0.61,0.138,0.138,12.3,21.1,16.3,10.8,0.9,1.9,14,18.2,0.3,0,0.3,0.081,1,-1.2,-0.2,0.1,Playoffs,33.2,-6.7,-2.1,-0.132,0.132,0,0,0,0
Julius Randle,26,NYK,3,71,2667,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,2021,Regular Season,37.56338028,5,180,7.2,0.425,0.351,0.287,6.1,29.4,17.1,19.8,0.9,0,17.8,31.8,-0.7,0.3,-0.4,-0.109,-2.8,-0.7,-3.5,-0.1,Playoffs,36,-12.5,-4,-0.249,0.249,1,0,0,0
Julius Randle,28,NYK,3,77,2737,20.3,0.581,0.444,0.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,5,3.1,8.1,0.142,3.9,-0.2,3.7,3.9,2023,Regular Season,35.54545455,10,330,11.5,0.485,0.449,0.374,5.9,22.7,14.3,19.2,0.8,0.9,17,27.8,-0.4,0.5,0.1,0.017,-0.2,-0.6,-0.8,0.1,Playoffs,33,-8.8,-3.8,-0.125,0.125,1,0,0,0
Karl-Anthony Towns,27,MIN,8,29,957,18.8,0.618,0.383,0.315,5.7,21.6,13.8,22,1,1.5,15,25.6,1.5,1.1,2.7,0.133,2.1,0.9,3,1.2,2023,Regular Season,33,5,180,12.2,0.553,0.343,0.4,3.8,29.9,16.5,9.4,0.9,2,17.9,25.8,-0.2,0.1,-0.1,-0.02,-3.1,-0.7,-3.8,-0.1,Playoffs,36,-6.6,-1.3,-0.153,0.153,1,0,0,0
Kemba Walker,30,BOS,9,43,1369,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,2021,Regular Season,31.8372093,3,91,4.3,0.419,0.415,0.244,0,16.1,7.6,20.1,0.6,0,15,24.9,-0.2,-0.1,-0.3,-0.163,-6,-3,-9.1,-0.2,Playoffs,30.33333333,-13.4,-1.6,-0.278,0.278,0,1,0,0
Kevin Durant,33,BRK,3,55,2047,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2,8.4,0.198,6.4,0.7,7.2,4.8,2022,Regular Season,37.21818182,4,176,13.6,0.526,0.253,0.458,1.5,15.7,8.5,22.3,1.2,0.5,17.4,31.5,0,-0.1,-0.1,-0.026,0.4,-3.3,-2.9,0,Playoffs,44,-12,-4.8,-0.224,0.224,1,0,0,0
Khris Middleton,28,MIL,4,62,1853,21.1,0.619,0.374,0.24,2.5,17,10.2,22.2,1.3,0.3,11.6,26.4,4.6,3.3,7.9,0.205,3.4,0.7,4.1,2.9,2020,Regular Season,29.88709677,10,355,13.5,0.507,0.361,0.256,1.5,19.6,10.4,27,1.5,0.6,14.5,28.4,-0.1,0.5,0.3,0.043,-0.4,0.4,0,0.2,Playoffs,35.5,-7.6,-2.7,-0.162,0.162,0,0,1,0
Kyrie Irving,26,BOS,4,67,2214,24.3,0.592,0.35,0.197,3.4,12.7,8.1,35,2.2,1.4,11.3,29.6,6.2,2.9,9.1,0.197,6,1.1,7.2,5.1,2019,Regular Season,33.04477612,9,330,15.4,0.488,0.324,0.223,1.6,10.3,6.2,35.8,1.7,1.1,12.5,29.8,-0.1,0.5,0.4,0.06,2.1,0.3,2.5,0.4,Playoffs,36.66666667,-8.9,-4.7,-0.137,0.137,0,1,0,0
Maxi Kleber,28,DAL,10,74,1890,13.6,0.605,0.621,0.181,6.3,15.1,10.8,6.3,0.6,3.8,9.5,13.9,3.2,1.7,4.8,0.123,0.4,0,0.4,1.1,2020,Regular Season,25.54054054,6,203,7.1,0.452,0.667,0.308,5.3,15.8,10.5,5.5,0.5,3,8.3,10.2,0,-0.1,0,-0.009,-2.2,-1.1,-3.3,-0.1,Playoffs,33.83333333,-6.5,-1.2,-0.132,0.132,1,0,0,0
Russell Westbrook,31,HOU,9,57,2049,21,0.536,0.166,0.297,5.1,18.1,11.5,35.6,2.1,0.8,15,34.4,1.7,2.5,4.2,0.098,1.6,-0.1,1.5,1.8,2020,Regular Season,35.94736842,8,262,12.1,0.464,0.236,0.229,4.5,20.2,11.9,25.8,2.2,0.8,16.3,31.5,-0.7,0.4,-0.2,-0.043,-1.9,-1.2,-3.2,-0.1,Playoffs,32.75,-8.9,-1.9,-0.141,0.141,0,1,0,0
Timothé Luwawu-Cabarrot,24,BRK,6,47,853,11,0.599,0.595,0.301,3.6,11.6,7.7,4.9,1,0.7,10.8,16.8,0.9,0.7,1.7,0.095,-1.8,-0.5,-2.2,-0.1,2020,Regular Season,18.14893617,4,131,6.5,0.498,0.661,0.203,0.7,11.6,5.8,7.6,1.1,0,11.1,22.7,-0.2,-0.1,-0.3,-0.093,-2.4,-2.2,-4.6,-0.1,Playoffs,32.75,-4.5,0,-0.188,0.188,0,0,1,0
Trae Young,23,ATL,2,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9,1,10,0.181,7.1,-2,5.2,4.8,2022,Regular Season,34.89473684,5,186,5.3,0.461,0.551,0.478,3.2,13.2,8.1,27,0.8,0,27.1,28.3,-0.6,0.1,-0.5,-0.139,-4,-4.1,-8.1,-0.3,Playoffs,37.2,-20.1,-5.1,-0.32,0.32,0,1,0,0
Wayne Ellington,31,DET,10,53,1297,11.8,0.569,0.814,0.107,1.1,7.9,4.5,8.3,2,0.4,7.7,17.2,1.3,1.4,2.6,0.097,-0.3,0.3,0,0.7,2019,Regular Season,24.47169811,4,131,5.7,0.432,0.629,0.057,2,10.7,5.8,5.5,1.1,0,5.3,12.1,-0.1,-0.1,-0.2,-0.061,-3.5,-2.2,-5.7,-0.1,Playoffs,32.75,-6.1,-0.8,-0.158,0.158,0,0,0,1
